# HarvestMath Plant Care — species reference.
#
# Columns: id, common, botanical, group, light, water, baseDays, humidity, size, feed, mist, repotYears, notes
#
#   light     low | medium | bright | direct       (bright = bright indirect)
#   water     arid | dry-between | evenly-moist | wet
#   baseDays  days between waterings for a mid-size indoor pot in growing season.
#             The scheduler moves this by pot size, season, indoor/outdoor and zone —
#             see calc/schedule.ts. It is a starting point, never the answer.
#   humidity  low | average | high
#   feed      none | light | average | heavy
#   mist      y | n   (whether misting does anything useful for this plant)
#
# Toxicity is NOT a column here. It comes from the ASPCA list at lookup time —
# see data/ported/toxicity.ts. One source, and a safety claim never retyped.
id	common	botanical	group	light	water	baseDays	humidity	size	feed	mist	repotYears	notes
pothos-golden	Golden Pothos	Epipremnum aureum	vine	medium	dry-between	9	average	6–10 ft trailing	light	n	2	Tolerates low light but variegation fades. Roots easily in water from a cutting.
pothos-marble	Marble Queen Pothos	Epipremnum aureum 'Marble Queen'	vine	bright	dry-between	10	average	5–8 ft trailing	light	n	2	More white in the leaf means less chlorophyll — needs brighter light than golden and grows slower.
monstera	Swiss Cheese Plant	Monstera deliciosa	foliage	bright	dry-between	9	average	6–8 ft indoors	average	n	2	Leaf holes appear with maturity and enough light, not with age alone. Wants something to climb.
monstera-adansonii	Swiss Cheese Vine	Monstera adansonii	vine	bright	dry-between	7	high	4–6 ft trailing	average	y	2	Thinner leaves than deliciosa, dries out faster, and shows crisp edges sooner if the air is dry.
philo-heartleaf	Heartleaf Philodendron	Philodendron hederaceum	vine	medium	dry-between	9	average	4–8 ft trailing	light	n	2	One of the few genuinely low-light-tolerant trailers. Pinch tips to stop it going bare at the top.
philo-brasil	Philodendron Brasil	Philodendron hederaceum 'Brasil'	vine	bright	dry-between	9	average	4–8 ft trailing	light	n	2	Variegation is unstable — cut back to a variegated node if it reverts to plain green.
philo-selloum	Tree Philodendron	Philodendron bipinnatifidum	foliage	bright	dry-between	8	average	4–6 ft wide	average	n	3	Wants floor space more than height. Older plants form a visible trunk.
zz-plant	ZZ Plant	Zamioculcas zamiifolia	foliage	low	arid	21	low	2–3 ft	light	n	3	Stores water in rhizomes. The most common way to kill one is watering it on a schedule.
snake-plant	Snake Plant	Dracaena trifasciata	succulent	low	arid	21	low	2–4 ft	light	n	4	Happy pot-bound. Water far less in winter — cold wet soil is what rots them.
snake-plant-cyl	Cylindrical Snake Plant	Dracaena angolensis	succulent	bright	arid	21	low	2–3 ft	light	n	4	Same care as trifasciata. The fanned braid is done at the nursery, not by the plant.
spider-plant	Spider Plant	Chlorophytum comosum	foliage	bright	evenly-moist	7	average	1–2 ft	light	n	2	Brown tips are usually fluoride and salts in tap water. Rainwater or distilled fixes it.
peace-lily	Peace Lily	Spathiphyllum wallisii	flowering	medium	evenly-moist	6	high	1–3 ft	average	y	2	Wilts dramatically then recovers, which trains people to underwater it. Water before the droop.
zz-raven	Raven ZZ	Zamioculcas zamiifolia 'Raven'	foliage	medium	arid	21	low	2–3 ft	light	n	3	New growth emerges lime green and darkens to near-black. Slower than the plain form.
rubber-plant	Rubber Plant	Ficus elastica	tree	bright	dry-between	10	average	6–10 ft indoors	average	n	3	Drops lower leaves when moved. Give it one spot and leave it there.
fiddle-leaf	Fiddle Leaf Fig	Ficus lyrata	tree	bright	dry-between	9	average	6–10 ft indoors	average	n	3	Hates change and cold draughts. Brown crispy edges are usually underwatering; dark spots are usually over.
weeping-fig	Weeping Fig	Ficus benjamina	tree	bright	dry-between	8	average	6–10 ft indoors	average	n	3	Leaf drop after any move is normal and it grows back. Keep away from doorways.
ficus-audrey	Ficus Audrey	Ficus benghalensis	tree	bright	dry-between	10	average	5–8 ft indoors	average	n	3	More forgiving than a fiddle leaf and often sold as its easier replacement.
dracaena-marginata	Dragon Tree	Dracaena marginata	tree	medium	dry-between	12	average	4–8 ft	light	n	3	Sensitive to fluoride — brown tips are usually the tap water, not the watering.
dracaena-fragrans	Corn Plant	Dracaena fragrans	tree	medium	dry-between	12	average	4–6 ft	light	n	3	Slow and long-lived. Wipe the leaves; dust noticeably dulls it.
dracaena-lemon-lime	Lemon Lime Dracaena	Dracaena fragrans 'Lemon Lime'	tree	bright	dry-between	12	average	3–5 ft	light	n	3	Same plant as corn plant with brighter variegation and the same fluoride sensitivity.
yucca-cane	Yucca Cane	Yucca elephantipes	tree	direct	arid	16	low	4–8 ft	light	n	4	Wants more direct sun than most houseplants. Rot from overwatering is the usual end.
ponytail-palm	Ponytail Palm	Beaucarnea recurvata	succulent	direct	arid	21	low	3–6 ft indoors	light	n	4	Not a palm. The swollen base is a water store — treat it like a succulent.
parlour-palm	Parlour Palm	Chamaedorea elegans	palm	medium	evenly-moist	8	average	2–4 ft	light	y	3	One of the few palms that genuinely copes with low light. Prone to spider mite in dry air.
kentia-palm	Kentia Palm	Howea forsteriana	palm	medium	dry-between	10	average	6–10 ft indoors	light	y	4	Expensive because it is slow. Very tolerant of low light and neglect once settled.
areca-palm	Areca Palm	Dypsis lutescens	palm	bright	evenly-moist	7	high	5–7 ft indoors	average	y	3	Thirsty and humidity-hungry. Brown tips are almost always dry air or fluoride.
majesty-palm	Majesty Palm	Ravenea rivularis	palm	bright	evenly-moist	6	high	4–8 ft indoors	average	y	3	Sold everywhere and struggles indoors — it wants swamp humidity and strong light.
boston-fern	Boston Fern	Nephrolepis exaltata	fern	medium	evenly-moist	5	high	2–3 ft	light	y	2	Dries out fast. A pebble tray does more than misting, which is over by the time you put the bottle down.
maidenhair-fern	Maidenhair Fern	Adiantum raddianum	fern	medium	wet	4	high	1–2 ft	light	y	2	Unforgiving about drying out — one missed week and the fronds crisp. Best in a bathroom.
birds-nest-fern	Bird's Nest Fern	Asplenium nidus	fern	medium	evenly-moist	7	high	2–3 ft	light	y	3	Water the soil, not the central rosette — water sitting in the crown rots it.
staghorn-fern	Staghorn Fern	Platycerium bifurcatum	fern	bright	dry-between	7	high	2–3 ft	light	y	4	An epiphyte. Usually mounted, and soaked rather than watered.
rabbits-foot-fern	Rabbit's Foot Fern	Davallia fejeensis	fern	medium	evenly-moist	6	high	1–2 ft	light	y	3	The furry rhizomes belong on the surface — burying them rots the plant.
calathea-orbifolia	Calathea Orbifolia	Calathea orbifolia	prayer	medium	evenly-moist	6	high	2–3 ft	light	y	2	Crisp edges mean tap water or dry air. Rainwater or distilled, and keep it off a radiator.
calathea-medallion	Calathea Medallion	Calathea roseopicta	prayer	medium	evenly-moist	6	high	1–2 ft	light	y	2	Folds its leaves up at night. Drooping in daylight is thirst or cold.
calathea-rattlesnake	Rattlesnake Plant	Goeppertia insignis	prayer	medium	evenly-moist	6	high	2–3 ft	light	y	2	Reclassified out of Calathea but sold under the old name everywhere.
maranta	Prayer Plant	Maranta leuconeura	prayer	medium	evenly-moist	6	high	1 ft trailing	light	y	2	Leaves fold at dusk and open at dawn. Stops doing it when it is unhappy.
stromanthe	Stromanthe Triostar	Stromanthe sanguinea	prayer	bright	evenly-moist	6	high	2–3 ft	light	y	2	The pink is real variegation, not a dye. Needs bright light to keep it.
ctenanthe	Never Never Plant	Ctenanthe burle-marxii	prayer	medium	evenly-moist	6	high	1–2 ft	light	y	2	Same family and the same demands as Calathea — humidity and clean water.
rex-begonia	Rex Begonia	Begonia rex	flowering	bright	evenly-moist	6	high	1 ft	light	n	2	Grown for foliage, not flowers. Never mist — wet leaves invite mildew.
polka-dot-begonia	Polka Dot Begonia	Begonia maculata	flowering	bright	dry-between	7	average	2–4 ft	average	n	2	Cane-type. Needs staking once it gets tall or it snaps under its own weight.
